dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,pk,ordinalPosition,pii,classification,nullPercentage,refersTo,V1
LBSDummyC,Customer TS2-PP1,edit_customer_details,lbs_editcustomerdetails,CORRESPONDENCE_UK_ADDRESS_DISTRICT,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,edit_customer_details,lbs_editcustomerdetails,CORRESPONDENCE_OVERSEAS_ADDRESS_LINE1,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,edit_customer_details,lbs_editcustomerdetails,CORRESPONDENCE_OVERSEAS_ADDRESS_LINE2,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,edit_customer_details,lbs_editcustomerdetails,TYPE_OF_EVIDENCE,Column,INTEGER,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,edit_customer_details,lbs_editcustomerdetails,LOCK_PREVIOUS_STAGES,Column,BIT,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,edit_customer_details,lbs_editcustomerdetails,CORRESPONDENCE_BFPO_ADDRESS_SERVICE_NUMBER,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,edit_customer_details,lbs_editcustomerdetails,EMPLOYMENT_STATUS_ID,Column,VARBINARY/BLOB,TRUE,18,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,edit_customer_details,lbs_editcustomerdetails,RESIDENTIAL_OVERSEAS_ADDRESS_LINE2,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,edit_customer_details,lbs_editcustomerdetails,RESIDENTIAL_UK_ADDRESS_COUNTY,Column,NVARCHAR,TRUE,30,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,edit_customer_details,lbs_editcustomerdetails,RESIDENTIAL_BFPO_ADDRESS_CARE_OF_SURNAME,Column,NVARCHAR,TRUE,60,,FALSE,,,,,,
